,ID,postTraining,postExp1,postExp2
14,169128813_169128813,The fact that I did not need to click the targets as the mouse was automatically clicking them as soon as I moved over them.,"No, I just tried to stay focused and hit the correct targets throughout the experiment.",Very challenging game. Thank you for allowing me to take part and all the best for your results.
15,127366482_127366482,i noticed that the pieces were selected automativally,No,No
16,134321459_134321459,"The warnings are too fast to appear, sometimes I dont have time to go with the mouse to the odd one",no,no
17,7188230_7188230,I didn't have to click the correct answer,No,"In level 4 game bugged and nothing were displaying, but after leaving full screen and entering again it fixed.
Sometimes it was more muscle-memory game for me than anything other, since I was trying to make big move with my mouse and click the right tile and often missed."
18,187562196_187562196,i didnt need to click,not really i was just trying to be faster than him,no
19,10502553_10502553,It was much easier. The last one was particularly weird as it looked like the odd one was selected way before the click. In general it got easier and easier to not be flagged especially for the smooth movement rule ,No ,Hard!!
20,169472058_169472058,It felt like there was some auto-clicking once I unlocked the grid and started moving the pointer towards the objective,"Not intentionally, but I felt like pushing myself to click faster and more accurately made me feel tired. I feel like I started underperforming.","Such an interesting experiment. I was wondering if you're trying to create an AI to help enhance precision on clicks on the computer, such as the ""aimbot"" that can be used in FPS videogames, but for computer accesibility or something related."
21,28618912_28618912,not needing to click with the mouse to register my answer,i dont believe there is even a way to trick the computer,no further comments regarding the trials
22,25001438_25001438,"In the last few trials, I did not need to click the odd one and it would do it automatically.","I always tried to get to the answer as fast as possible, however, sometimes, the warnings would get in the way!","Very Frequently, warnings get in the way, which ruins the experience a bit. Otherwise, it was great."
23,166465762_166465762,It seemed like it automatically detected the odd element,Not at all,A timer could improve the average time of the participants
24,234195761_234195761,"Il n'y avait plus besoin de cliquer j'ai l'impression, juste passer la sourie sur la bonne réponse était suffisant","Non, je ne pense pas",Pas particulièrement
25,25171274_25171274,dynamic effects made it seem like I'm movinf faster than in reality,No,"I never let the computer click first intentionally, but I often got that warning message"
26,40319355_40319355,"yes, it automaticly selected the right one if I directed the mouse towards it",mouse always in the center,I had difficulties mostle in the icons tha I had to scroll below
27,32559076_32559076,"yes, i did not click in the symboll , it was automatic",no,no
28,85476979_85476979,It appeared that I didn't click on the odd on out only hover it.,No,No
29,174770575_174770575,"After some time, when I unlocked the grid and started moving the mouse, the object was automatically detected before I could reach it",No.,No.
30,212221613_212221613,"I had not yet reached the odd one out, but after I unlocked the grid, as I was moving, it was identified.",No.,No.
31,43150525_43150525,I didn't have to click on the object,No,No
32,66206712_66206712,"I hit the target without having to click on it, instead I just had to move the cursor near the target.",No,Very nice UI
33,21574206_21574206,"It's been so fast I'm not sure if I've seen it correctly, but the figure that I had to click seemed to have some sort of standing out halo of some sort. ","No, I only prioritized clicking as fast as possible.","Very fun, thank you."
34,250814597_187832916,I didn't need to click on the target,No,Sometimes the warnings can be overwhelming
35,233361278_233361278,The pieces were selected by themselves.,I tried to go faster doing a single line.,It was a very interesting and fun experience.
36,267993085_267993085,"As soon as I pressed the spacebar, the game would auto-detect the target",No,Sometimes I would click right after the computer and I would get the warning that I was waiting for the computer when I wasn't actually doing it.
37,46879303_46879303,The game autoclicked the outlier when the cursor moved towards its direction,No,No
38,21961422_21961422,in the last trial I didn´t have to click on the odd spot,no, 
39,201482909_201482909,"it seemed that i didnt have to click it ,it was enough to just step on the square",No,everything was fine
40,206810302_206810302,Les intrus brillaient et les autre disparaissaient lorsque j'appuyais sur espace,non,non
41,147119413_147119413,The unique shape was getting clicked automatically as soon as I pointed at it,No,It was a little bit challenging but fun
42,208421181_208421181,"Avec un niveau de confiance relativement élevé je peux établir que je n'avais plus besoin de cliquer sur l'item correct pour valider et passer à l'exercice suivant.

Cependant, considérant la vitesse de réalisation de la tâche, j'ai du mal à établir si la validation intervenait automatiquement au survol du bon item par mon curseur ou sur une base de temps (cad. indépendant de la position de mon curseur)

Dans un premier temps j'ai privilégié la fixité des règles du jeu comme cadre de travail en pensant qu'il s'agissait d'un bug. 

Je dirai que c'est à travers la répétition du phénomène que j'ai commencé à mettre en doute le fonctionnement de l'exercice, mais à posteriori j'ignore si j'avais déjà identifié cet alternative ou si elle est apparue au moment de la présentation de la question.

De plus, la dimension compétitive du jeu associé à des traitements relativement rapides m'ont incité à me prévaloir du dysfonctionnement apparent pour ""gagner des points"" malhonnêtement.",Oui. J'ai ponctuellement réajusté le temps de préparation avant le déblocage de la grille pour identifier avec une plus grande précision l'item cible.,"La gestion des avertissements reçus ainsi que le stress qui en découle, semblent mobiliser des ressources cognitives et affecter les performances subséquentes. Une déconcentration volontaire semble être bénéfique mais n'estompe pas tous les effets induits par le stress."
43,23767256_23767256,nie zauważyła nic dziwnego,no,no
44,173753237_173753237,The right choice was pressed automatically,No,Sometimes I pressed space and a message said that I didn't press it and sometimes I clicked the right icon and it said that I didn't hit the target precisely. Most of my mistakes were so weird because I wasn't doing anything wrong
45,100831574_100831574,I didn't have to click anymore,NO,No
46,79197636_79197636,oui plus besoin de cliquer pour valider l'intrus,oui aller plus vite mais j'allais a coté de l'intrus,non
47,136189181_136189181,It was all okay.,No. ,No.
48,76618630_76618630,It seems the movments became faster.,"No, i didn't trick computer in any way, because I thought it is no use.","The survey was a bit frustrating, because of the alerts.  It made me focus less."
49,245138573_245138573,"I belive that i didn't click on it, If only I moved to the direction of the target it was ok",No,It was to easy a warning to pop up
50,169318478_169318478,"Oui, plus besoin de cliquer sur l'intru, il s'activait de lui-même, pourtant mon temps n'a pas été amélioré.",Ai essayé de raccourcir le délai entre mon clic sur la touche pause et le déplacement de la souris.,"Je pense que certaines fois, il n'y avait pas trop d'ordinateur, mais se dire qu'il allait cliqué avant a permis d'optimiser le temps, et de mettre plus de concurrence que face à soi-même au début."
51,4689213_4689213,space is bad choice ,"no, spacebar was cancer ",it was painful with spacebar
52,197577548_197577548,il n'y avait plus besoin de cliquer sur l'intrus et parfois même juste en déverrouillant la grille l'intrus était trouvé,non,non
53,23729824_23729824,The target was autoclicked as soon as I went on it with the mouse (without actually clicking on it),"No, I only tried to be faster and faster because I noticed that when I was fast I could maybe beat the computer and then answer who clicked the target first easily","I found a bit frustrating the smooth movements rule because it was too strict sometimes (even when the movement seemed without pauses to me), with practice however I did less mistakes"
54,102330358_102330358,"The first time, the warning kept appearing even when I was heading towards the odd one out - it was incredibly frustrating. In the last couple, I didn't have to click, it worked by hovering over it. ",no,"the warning message is incredibly frustrating. if you go marginally the wrong way or accidentally over reach and then come back, you get the warning message and its jarring. "
55,161563474_161563474,The odd one out was clicked automatically,no,no
56,150404285_150404285,It was choosing itself,No.,It was very long
57,149412238_149412238,I didn't have to click the odd one.,No,"Sometimes it gave me warnings for no reason, but other than that, I really enjoyed it."
58,15634040_15634040,sometimes i didn't had time to finish the move and click on the figure,no,no
59,17361736_17361736,I did not need to click to choose the figure,I did not,no
60,12303458_12303458,On the last one I didn't need to click on the mouse button to select the odd form. It clicked by itself.,No I didn't,"The ""one smooth movement"" is too much sensitive, it's really annoying."
61,77101454_77101454,"the signs were autoclicked , i just had to unlock and move the mouse",nope,it was funny and fizzy 
62,233054812_233054812,It suddenly got faster after I unblocked the grid and the result almost showed up by itself,No,None
63,19970485_103116652,auto clicked,no,Seem like aim lab xD
64,170791133_170791133,i didnt saw it,no,no
65,202178857_202178857,as soon as I moved my mouse the odd figure just got selected as if I had clicked on it,No,No
66,156391236_156391236,I think I was computing against the computer. The intruders got clicked before I did,Nope,Nope
67,228307330_228307330,The right one was pressed automatically without me doing anything.,No,No
68,163618449_163618449,"At last trial, there was an auto-click mode ","I did not try to trick the computer but I noticed that when the computer clicked before me, I did not click the symbol.
Also, at the last levels, I felt more comfortable with the game and I had higher score.",It was an intersting experience. 
69,186122125_186122125,"yes 
last few trials i don't click be i get a goal ",no i click try fast as i can click that odd,nope
70,205336752_205336752,Il n'y avait plus besoin de cliquer sur l'intrus. Parfois l'action même de déverrouiller la grille permettait de valider l'intrus.,"J'ai changé mon comportement pour essayer de cliquer plus rapidement sur l'intrus que l'ordinateur, ce qui a fait défaut à ma précision et à augmenter mon nombre d'erreurs.",Non.
71,121162388_121162388,"I didn't have to click the odd image out, just run my cursor over it.",No.,The sensitivity of the moving in a straight line was frustrating.
72,116269512_116269512,I don't have to click at the right one anymore.,No.,No.
73,48303334_48303334,I didn't notice anything strange aside that from doing mistakes the targets would change. I am sorry for any mistakes done in this first level.,Honestly I've started experincing more stress that led up to a lot of mistakes and I am completely sorry for that.,I wished that the computer part wasn't a thing at all honestly so I could focus more to myself and improve mistakes and reaction time. I am sorry. But the computer element caused a lot of stress.
74,136295119_225465923,I have not noticed anything strange that ocurred.,yeah i tried to not click on the right one to see if the computer would.,no
75,92189776_92189776,The figures were selected without being clicked,No,It was very extensive exercise
76,98299546_98299546,"I didn't have to click on the odd ones. Just by clicking space, it was pciked automatically ",No,No
77,260866741_260866741,I didn't need to click on the shape,no,no thanks
78,182327542_182327542,"It felt like I did not need to click on the item, it felt like it was automatically being selected.",No,No
79,247632331_247632331,I didn't notice that something strange occurred during the last few trials.,No,No
80,243329838_243329838,je n'avais pas besoin d'appuyer pour que la cible soit sélectionnée,parfois j'ai essayé d'aller plus vite pour cliquer d'abord,je n'étais pas toujours sûr de quel indice visuel indiquait que la cible avait été cliquée
81,242297519_242297519,i didn't notice anything,no,no
82,68643580_68643580,It automatically started to click on the odd one at the moment I pressed the space bar,No,No
83,265669543_265669543,the odd pattern was chosen automatically and faster as the trials went on,No,No
84,181534843_25665390,"I did not have to click anymore, making the task way easier (not having to stop on the right target, basically making it an exercise of ""flicking"" the mouse in the general direction of the target).","I paid more attention to where my cursor was when the click was registered, as I usually don't click the second I reach the target square, even if I move fast towards it. This helped figure out a little bit if the computer did the click before me or not.","I'm not usually keeping my cursor motionless when holding the mouse, so it was easy to get penalties for moving before I had unlocked the squares."
85,91960078_91960078,Le système cliquait seul sur l'intrus lorsque je bougeait à peine la souris. Cela m'a fait gagné du temps.,Non.,Non
86,106282497_106282497,"Yeah, once I pressed the space bar, the game automatically highlighted the intruse. The game did my job. ",No. ,No. 
87,129771717_129771717,"I didnt have to click my mouse, I only had to move my mouse towards position",I tried to mvoe my mouse at the exact time as spacebar click,no
88,22676373_22676373,Je n'avais plus besoin de cliquer sur les symboles.,"Il y a eu des phases où j'essayais d'être le plus rapide possible sans tenir compte des erreurs et des phases où j'essayais de faire moins d'erreurs. Lorsque j'essayais d'être le plus rapide possible, c'était très dur de savoir si c'était moi ou l'ordinateur. Lorsque je voulais faire le moins d'erreurs, c'était plus simple.",Non
89,179968006_179968006,this game was tough. ,No. ,it was hard and time consuming. but i enjoyed it.
90,177624241_177624241,Non,Non,Trop chiant
91,241085945_241085945,L'intrus était indiqué par un cercle autour lors de l'appui sur la barre d'espace,"Pas beaucoup, j'ai parfois essayé de prendre un tout petit peu plus de temps pour trouver l'intrus et être sûr de la direction, mais c'était rare et j'ai plutôt tenté d'être rapide sur les 2 phases (recherche et mouvement)","C'est assez demandeur en concentration, je fais plus d'erreur au milieu-fin, fatigue ou précipitation difficile de dire de mon point de vue."
92,163537234_163537234,"the sensitivity of the mouse is very high. In the last stage the target was ""clicked"" by itself. I just needed to start the move towards the goal","Impossible. If I wanted to be precise I became too slow, if I wanted to be fast I became inaccurate",in places it was a bit laggy
93,58563529_58563529,L'ordinateur cliquait à ma place sur la solution.,"Pas intentionnellement, mais parfois visible sur quelques erreurs de déplacement (clic plus loin que prévu sur l'objet, clic légèrement retardé par engourdissement sur répétition).",non
94,101286468_101286468,"Yes, I noticed that the figure was selected before I clicked on it","No, I just tried to be faster",It was fun
95,178699978_178699978,"I pressed space bar to unlock the grid, moved my mouse in the direction of the odd shape and it immediately selected it for me",Just got a little bit more rest in between levels,Difficult after some time
96,164532367_164532367,"i didnt have to click on the target, it automaticly reveals itself",no,no
97,249688569_249688569,At the last few rounds I wouldn't need to click the symbol.,Nothing of the sort.,It was really tiring especially at the last few rounds
98,8387634_8387634,I didn't have to click on the odd shapes anymore.,no,not really
99,135326258_135326258,"le point était compté au repérage de l'intrus en appuyant sur 
Espace sans attendre le mouvement du pointeur et le click.",Non je n'avais pas trouvé de technique permettant de feinter l'ordinateur. J'ai essayé parfois de m'arrêter brièvement après avoir appuyé sur espace puis bouger la souris vers la cible mais en vain.,"expérience sympathique qui demande d'être concentré pendant une assez longue durée. Mes clicks manquaient de précision car j'utilisais le pavé tactile de mon pc, n'ayant pas de souris, ce qui a compliqué un petit peu la tâche."
100,72010381_72010381,I seems like the odd one out was being chosen for me automatically before i could click on it,not at all,it was actually fun and needed so much attention
101,114166405_114166405,I didn't need to click on the target,Not really,"The error messages are frustrating, the graphics should be changed a bit"
102,207567088_207567088,"The task became easier with each round and the rules were less and less applicable with each round, For eg, in the first round Id get a warning for each tiny mistake, however in the last round, I didn't even need to click on the target anymore, it just arose on its on.",No I Did not,"This game was not easy,"
103,5801872_5801872,as if the computer chose the right one,"no, i lost the rhythm from time to time","sometimes, even though i had alreaady pressed the bar, it gave me an error when i moved the mouse"
104,222324918_222324918,Il ne fallait plus appuyer sur l'intrus,non,non
105,187175550_187175550,You didn't have to click on the figure as it already selects when you pass over it.,No,No
106,238092845_238092845,"The final trials, the items were auto-selected","I did try, by speeding through the game",This was a really fun game to play
107,85281525_85281525,i didn't have to click anymore ,no i didn't,-
108,178637920_178637920,"the odd ones out were already picked before i picked it 
",no,no
